fp_ampl1,fp_ampl2,fp_ampl3,std_noise,CIRpower,RXPACC,fpindex,RX_power,FP_power,Pd,Pr,estimated_range,distance_GT,error,label,NLOS
17148,17814,10509,44,14848,1020,744.552,-79.971,-82.932,2.961,1.037025922,10803,10969.41142,-166.4114245,0,LOS
17762,18470,16957,48,19968,1021,749.84,-78.052,-81.852,3.8,1.048685492,10785,10969.41142,-184.4114245,0,LOS
17298,17460,14149,48,23808,1051,745.584,-79.953,-81.495,1.542,1.019286331,10790,10969.41142,-179.4114245,0,LOS
18278,18087,10026,56,48640,1021,746.68,-78.199,-81.073,2.874,1.036752388,10800,10969.41142,-169.4114245,0,LOS
18337,18261,10969,52,63488,1020,747.744,-78.184,-81.231,3.047,1.038972168,10770,10969.41142,-199.4114245,0,LOS
16231,17232,15084,48,5632,1021,744.512,-79.918,-81.629,1.711,1.021409445,10820,10969.41142,-149.4114245,0,LOS
16927,17176,14224,52,7168,1051,748.776,-78.139,-81.575,3.436,1.04397292,10794,10969.41142,-175.4114245,0,LOS
17153,16875,16163,40,20224,1020,745.584,-79.912,-81.591,1.679,1.021010612,10791,10969.41142,-178.4114245,0,LOS
17411,17882,15135,48,23040,1021,749.84,-78.138,-81.777,3.639,1.046571451,10831,10969.41142,-138.4114245,0,LOS
16120,17325,10556,48,30464,1051,745.608,-79.883,-82.711,2.828,1.035401775,10816,10969.41142,-153.4114245,0,LOS
17709,17975,14205,40,41216,1021,746.672,-78.129,-81.708,3.579,1.045808855,10856,10969.41142,-113.4114245,0,LOS
17634,18271,13512,60,58624,1020,747.736,-78.057,-81.587,3.53,1.045223362,10817,10969.41142,-152.4114245,0,LOS
17381,17898,15752,56,4608,1020,748.768,-78.233,-81.934,3.701,1.047307402,10815,10969.41142,-154.4114245,0,LOS
16275,16812,11959,52,11008,1021,744.552,-79.969,-81.154,1.185,1.014818242,10806,10969.41142,-163.4114245,0,LOS
16539,17005,16244,44,20224,1051,741.328,-79.96,-81.583,1.623,1.020297649,10781,10969.41142,-188.4114245,0,LOS
16966,16526,17467,44,32768,1020,746.64,-79.998,-81.785,1.787,1.022338058,10813,10969.41142,-156.4114245,0,LOS
17454,16341,11002,44,44800,1051,746.68,-79.906,-81.006,1.1,1.013766175,10772,10969.41142,-197.4114245,0,LOS
17982,18730,15966,44,5120,1021,748.768,-78.057,-81.843,3.786,1.048503017,10805,10969.41142,-164.4114245,0,LOS
17563,17790,11594,56,13056,1051,744.544,-79.82,-81.214,1.394,1.017464295,10862,10969.41142,-107.4114245,0,LOS
17570,17979,15650,56,21504,1020,749.832,-78.205,-81.934,3.729,1.047682373,10833,10969.41142,-136.4114245,0,LOS
17564,15230,8903,40,47616,1025,746.68,-79.893,-82.586,2.693,1.033707584,10775,10969.41142,-194.4114245,0,LOS
17568,18051,11815,48,45568,1051,746.672,-79.918,-81.329,1.411,1.017655597,10802,10969.41142,-167.4114245,0,LOS
17269,18003,13266,52,58368,1021,747.736,-79.964,-81.495,1.531,1.019146116,10860,10969.41142,-109.4114245,0,LOS
17296,18012,15289,52,6144,1021,744.52,-79.961,-81.773,1.812,1.022661047,10827,10969.41142,-142.4114245,0,LOS
17649,17981,11924,44,12544,1051,748.8,-78.12,-81.345,3.225,1.041282642,10841,10969.41142,-128.4114245,0,LOS
17258,18592,17594,52,16896,1020,745.576,-79.989,-81.923,1.934,1.024178325,10821,10969.41142,-148.4114245,0,LOS
17405,17929,16006,52,21248,1021,749.832,-78.11,-81.984,3.874,1.049596723,10823,10969.41142,-146.4114245,0,LOS
17555,18389,14649,48,23040,1051,745.584,-79.868,-81.573,1.705,1.021347724,10822,10969.41142,-147.4114245,0,LOS
18053,17611,11542,60,28928,1020,749.864,-78.097,-81.271,3.174,1.040641766,10840,10969.41142,-129.4114245,0,LOS
16793,18240,17058,44,33024,1021,746.64,-78.163,-80.011,1.848,1.0236429,10817,10969.41142,-152.4114245,0,LOS
16506,16779,12710,56,42496,1020,746.672,-78.133,-81.308,3.175,1.040635839,10806,10969.41142,-163.4114245,0,LOS
15750,16456,16087,44,52224,1051,747.712,-78.043,-81.67,3.627,1.04647438,10827,10969.41142,-142.4114245,0,LOS
17594,18110,11779,52,13056,1022,748.8,-79.992,-81.341,1.349,1.016864186,10872,10969.41142,-97.4114245,0,LOS
17728,18522,17023,56,2304,1051,744.52,-79.949,-81.866,1.917,1.023977786,10797,10969.41142,-172.4114245,0,LOS
17349,18018,17088,44,2304,1051,748.776,-78.063,-80.005,1.942,1.024877343,10833,10969.41142,-136.4114245,0,LOS
16836,16873,11439,48,12032,1020,744.552,-78.063,-81.142,3.079,1.039442502,10832,10969.41142,-137.4114245,0,LOS
17149,16722,17057,40,18432,1050,749.84,-79.93,-81.685,1.755,1.021956712,10839,10969.41142,-130.4114245,0,LOS
16693,17985,14929,48,19968,1051,745.584,-78.041,-81.733,3.692,1.047308466,10836,10969.41142,-133.4114245,0,LOS
17006,16684,14429,52,23040,1020,749.84,-79.936,-81.433,1.497,1.018727482,10853,10969.41142,-116.4114245,0,LOS
17057,17889,13194,40,25600,1050,745.608,-79.959,-81.485,1.526,1.019084781,10843,10969.41142,-126.4114245,0,LOS
15883,17323,9933,36,31744,1051,749.872,-79.877,-82.609,2.732,1.034202586,10856,10969.41142,-113.4114245,0,LOS
15463,16541,15681,56,36864,1021,746.64,-79.989,-81.562,1.573,1.019665204,10832,10969.41142,-137.4114245,0,LOS
16368,17383,14107,56,39680,1051,746.648,-78.022,-81.524,3.502,1.044884776,10854,10969.41142,-115.4114245,0,LOS
4784,5319,3293,100,3628,1426,47418,-98.949,-106.103,7.154,1.072299872,12114,12034.26716,-79.73284,1,NLOS
4088,5073,3802,88,3743,1492,47649,-98.691,-107.335,8.644,1.087586507,12039,12034.26716,-4.73284,1,NLOS
3687,4911,4797,80,3446,1429,47563,-98.707,-107.992,9.285,1.094066277,12109,12034.26716,-74.73284,1,NLOS
4276,5525,5002,88,4218,1492,47313,-97.21,-106.466,9.256,1.095216542,12057,12034.26716,-22.73284,1,NLOS
3921,5051,4762,84,4017,1488,47683,-97.022,-107.84,10.818,1.111500484,12104,12034.26716,-69.73284,1,NLOS
4556,4736,3119,92,3811,1490,47922,-98.781,-107.032,8.251,1.083528209,12095,12034.26716,-60.73284,1,NLOS
3816,5115,3762,84,3636,1427,47905,-98.952,-107.565,8.613,1.087042202,12043,12034.26716,-8.73284,1,NLOS
3687,4270,4442,76,3408,1427,47560,-98.671,-107.294,8.623,1.087391432,12029,12034.26716,5.26716,1,NLOS
3949,4882,5167,80,3592,1426,47808,-98.906,-106.381,7.475,1.07557681,12071,12034.26716,-36.73284,1,NLOS
4024,5314,3349,88,3722,1491,47671,-98.673,-107.244,8.571,1.086862668,12067,12034.26716,-32.73284,1,NLOS
3959,4708,4994,96,3425,1429,47235,-98.681,-106.137,7.456,1.075556591,12109,12034.26716,-74.73284,1,NLOS
4089,5300,4181,76,4058,1493,47313,-97.037,-107.723,10.686,1.110122943,12043,12034.26716,-8.73284,1,NLOS
3660,5111,4531,76,3303,1428,47696,-98.529,-107.95,9.421,1.095616519,12034,12034.26716,0.26716,1,NLOS
3648,4733,3878,92,3411,1426,47636,-98.681,-107.231,8.55,1.086642819,12057,12034.26716,-22.73284,1,NLOS
4565,5620,3731,92,4153,1492,47410,-97.143,-106.002,8.859,1.091195454,12090,12034.26716,-55.73284,1,NLOS
4568,5377,3436,88,3885,1491,47671,-98.859,-107.685,8.826,1.08927867,12085,12034.26716,-50.73284,1,NLOS
4112,4734,4952,92,3849,1491,47626,-98.819,-107.841,9.022,1.091298232,12104,12034.26716,-69.73284,1,NLOS
4220,5144,4200,96,3456,1428,47701,-98.726,-106.082,7.356,1.074509248,12104,12034.26716,-69.73284,1,NLOS
3799,4587,4942,88,3752,1491,46981,-98.708,-107.564,8.856,1.089719172,12095,12034.26716,-60.73284,1,NLOS
4812,5440,3248,92,3552,1428,47420,-98.845,-106.179,7.334,1.074196975,12081,12034.26716,-46.73284,1,NLOS
4303,5320,3400,84,3982,1491,47221,-98.966,-107.452,8.486,1.08574662,12085,12034.26716,-50.73284,1,NLOS
4854,5203,2974,96,3952,1493,47293,-98.922,-107.522,8.6,1.086937183,12137,12034.26716,-102.73284,1,NLOS
4281,5304,3715,80,3401,1362,47787,-97.067,-106.376,9.309,1.09590283,12100,12034.26716,-65.73284,1,NLOS
3924,4605,4898,84,3938,1493,46914,-98.906,-107.603,8.697,1.087931976,12118,12034.26716,-83.73284,1,NLOS
4189,5618,4328,92,3855,1493,47588,-98.814,-106.093,7.279,1.073663651,12095,12034.26716,-60.73284,1,NLOS
3669,5318,3959,100,3751,1490,47140,-98.712,-107.386,8.674,1.087871789,12081,12034.26716,-46.73284,1,NLOS
4733,5272,3145,84,4054,1491,46842,-97.044,-107.578,10.534,1.1085487,12085,12034.26716,-50.73284,1,NLOS
3858,5603,4277,92,3906,1492,47262,-98.877,-107.884,9.007,1.091092974,12095,12034.26716,-60.73284,1,NLOS
3362,5105,4032,72,3316,1428,47966,-98.546,-107.458,8.912,1.090434924,12090,12034.26716,-55.73284,1,NLOS
3785,5133,5002,76,3567,1429,47562,-98.857,-106.334,7.477,1.075634502,12076,12034.26716,-41.73284,1,NLOS
3792,5051,4824,88,3984,1493,47688,-98.957,-107.783,8.826,1.089190254,12053,12034.26716,-18.73284,1,NLOS
3777,4453,4568,84,3563,1429,47556,-98.852,-107.559,8.707,1.088081172,12114,12034.26716,-79.73284,1,NLOS
3809,5247,4606,92,3856,1493,47569,-98.815,-107.789,8.974,1.090816172,12085,12034.26716,-50.73284,1,NLOS
3586,4621,4916,88,3753,1493,47175,-98.697,-107.441,8.744,1.088594385,12142,12034.26716,-107.73284,1,NLOS
4051,5352,4073,84,3649,1429,47267,-98.956,-106.058,7.102,1.071769271,12104,12034.26716,-69.73284,1,NLOS
4165,5037,4329,96,3987,1493,47378,-98.96,-107.664,8.704,1.087954729,12081,12034.26716,-46.73284,1,NLOS
3798,4786,5046,96,3388,1427,47429,-98.646,-106.15,7.504,1.076069988,12109,12034.26716,-74.73284,1,NLOS
3833,4321,5111,84,3879,1493,46978,-98.841,-107.522,8.681,1.087827926,12081,12034.26716,-46.73284,1,NLOS
3941,5275,4473,92,3809,1493,47700,-98.762,-107.797,9.035,1.091482554,12076,12034.26716,-41.73284,1,NLOS
4134,4965,3453,76,3299,1427,47852,-98.53,-107.468,8.938,1.090713488,12114,12034.26716,-79.73284,1,NLOS
3942,4891,5112,80,3510,1428,47941,-98.793,-106.334,7.541,1.076331319,12104,12034.26716,-69.73284,1,NLOS
4000,5552,4203,88,3921,1492,47196,-98.893,-107.879,8.986,1.090865885,12043,12034.26716,-8.73284,1,NLOS
3975,4681,5275,84,3828,1428,47624,-97.17,-106.33,9.16,1.094267778,12100,12034.26716,-65.73284,1,NLOS
3789,5310,4405,88,3611,1427,47634,-98.922,-106.092,7.17,1.072481349,12062,12034.26716,-27.73284,1,NLOS
3494,4264,4816,84,3187,1363,47552,-98.779,-107.86,9.081,1.091932496,12071,12034.26716,-36.73284,1,NLOS
4533,5576,3641,96,4336,1492,46964,-97.33,-107.906,10.576,1.108661256,12123,12034.26716,-88.73284,1,NLOS
3768,4434,5326,92,3861,1493,47555,-98.82,-107.718,8.898,1.090042502,12067,12034.26716,-32.73284,1,NLOS
3634,4806,4991,96,3538,1426,47686,-98.84,-106.046,7.206,1.072905706,12095,12034.26716,-60.73284,1,NLOS
3779,4990,4630,88,3589,1427,47691,-98.896,-107.997,9.101,1.092025967,12128,12034.26716,-93.73284,1,NLOS
3870,5119,4629,92,3887,1492,47375,-98.855,-107.75,8.895,1.089980274,12076,12034.26716,-41.73284,1,NLOS
4253,5162,3396,84,3838,1490,47227,-98.812,-107.298,8.486,1.085880257,12100,12034.26716,-65.73284,1,NLOS
3696,5048,4514,88,3745,1490,47628,-98.705,-107.542,8.837,1.089529406,12081,12034.26716,-46.73284,1,NLOS
4141,4241,3003,80,3337,1428,47211,-98.574,-108.614,10.04,1.101852415,12039,12034.26716,-4.73284,1,NLOS
3600,4977,3964,84,3521,1429,47447,-98.801,-107.438,8.637,1.087418144,12076,12034.26716,-41.73284,1,NLOS
3888,5219,3957,84,3891,1493,46819,-98.854,-107.414,8.56,1.086592348,12053,12034.26716,-18.73284,1,NLOS
4603,5471,3482,80,3969,1491,47291,-98.952,-107.8,8.848,1.089417091,12109,12034.26716,-74.73284,1,NLOS
4009,4796,4260,92,3918,1492,47696,-98.89,-107.36,8.47,1.085650723,12048,12034.26716,-13.73284,1,NLOS
3953,4851,3254,76,3598,1426,46959,-98.913,-107.145,8.232,1.083224652,12109,12034.26716,-74.73284,1,NLOS
3130,4311,4134,76,2826,1300,47569,-98.667,-107.558,8.891,1.090111182,12104,12034.26716,-69.73284,1,NLOS
4252,4870,3932,92,3219,1364,47511,-98.816,-106.142,7.326,1.074137791,12071,12034.26716,-36.73284,1,NLOS
3944,4591,5060,88,3735,1493,47619,-98.676,-107.719,9.043,1.091643358,12085,12034.26716,-50.73284,1,NLOS
4675,5404,3171,80,4217,1491,47357,-97.215,-107.651,10.436,1.107349689,12048,12034.26716,-13.73284,1,NLOS
3575,4209,3945,76,3152,1363,47439,-98.731,-107.203,8.472,1.085808915,12057,12034.26716,-22.73284,1,NLOS
4013,4675,4416,84,3733,1428,47627,-97.061,-107.759,10.698,1.110219347,12114,12034.26716,-79.73284,1,NLOS
9445,15266,17571,44,8258,350,47753,-82.722,-84.378,1.656,1.020018858,6277,6397.74851,120.74851,0,LOS
9080,17414,14678,36,7611,339,47954,-82.645,-84.445,1.8,1.021779902,6333,6397.74851,64.74851,0,LOS
9453,16974,16226,40,7969,318,47699,-81.4,-83.278,1.878,1.023071253,6258,6397.74851,139.74851,0,LOS
9110,17145,13074,40,6967,320,47970,-82.762,-84.543,1.781,1.021519538,6324,6397.74851,73.74851,0,LOS
12556,19716,17606,40,10987,403,47893,-82.737,-84.48,1.743,1.021066754,6268,6397.74851,129.74851,0,LOS
11492,19185,15494,40,9257,383,47898,-82.435,-84.289,1.854,1.022490447,6254,6397.74851,143.74851,0,LOS
9581,14206,17937,40,8048,332,47683,-81.069,-84.728,3.659,1.045134392,6277,6397.74851,120.74851,0,LOS
11873,18853,13288,40,8323,363,47658,-82.439,-84.341,1.902,1.023071604,6268,6397.74851,129.74851,0,LOS
9778,17032,16274,48,8241,341,47883,-82.939,-84.737,1.798,1.021678583,6282,6397.74851,115.74851,0,LOS
14727,19378,13269,44,10201,372,47790,-81.11,-84.705,3.595,1.044322525,6263,6397.74851,134.74851,0,LOS
12537,19630,16617,44,10396,390,47897,-82.782,-84.569,1.787,1.021586818,6305,6397.74851,92.74851,0,LOS
11207,17775,12922,40,7603,337,47911,-82.692,-84.55,1.858,1.022468921,6254,6397.74851,143.74851,0,LOS
8892,17054,18086,44,9070,350,47948,-81.129,-84.811,3.682,1.045384511,6286,6397.74851,111.74851,0,LOS
17316,17705,11982,44,9463,358,47855,-81.117,-84.972,3.855,1.047523947,6240,6397.74851,157.74851,0,LOS
10261,16311,18329,44,8934,342,47754,-81.265,-83.075,1.81,1.022272811,6324,6397.74851,73.74851,0,LOS
9300,15650,17351,44,8017,352,47816,-82.544,-84.339,1.795,1.021745978,6230,6397.74851,167.74851,0,LOS
15492,19046,11473,44,9241,380,47739,-82.496,-84.323,1.827,1.022146528,6319,6397.74851,78.74851,0,LOS
13796,18804,12492,48,8978,358,47985,-82.889,-84.633,1.744,1.021040186,6310,6397.74851,87.74851,0,LOS
13986,19545,13806,40,10003,382,47978,-82.795,-84.473,1.678,1.020266924,6249,6397.74851,148.74851,0,LOS
8999,17640,14155,40,7598,340,47765,-82.612,-84.357,1.745,1.021122839,6319,6397.74851,78.74851,0,LOS
10172,18706,14923,44,8529,350,47835,-82.862,-84.678,1.816,1.021915957,6310,6397.74851,87.74851,0,LOS
9886,16798,13624,36,7074,324,47963,-82.72,-84.573,1.853,1.02240087,6263,6397.74851,134.74851,0,LOS
9613,16875,15229,40,7698,323,47702,-81.114,-84.922,3.808,1.046946273,6268,6397.74851,129.74851,0,LOS
9113,16806,16660,40,7738,306,47887,-81.606,-83.627,2.021,1.024765336,6347,6397.74851,50.74851,0,LOS
13616,19112,13622,52,9743,359,47914,-81.22,-84.828,3.608,1.044422556,6263,6397.74851,134.74851,0,LOS
14403,20174,17579,48,11121,391,47639,-81.053,-83.07,2.017,1.024884952,6268,6397.74851,129.74851,0,LOS
8599,13819,16728,40,7139,322,47875,-82.814,-84.464,1.65,1.019924167,6263,6397.74851,134.74851,0,LOS
10648,18289,18173,36,9863,386,47950,-82.643,-84.438,1.795,1.021719928,6258,6397.74851,139.74851,0,LOS
17677,18512,10989,40,10248,407,47611,-82.349,-85.966,3.617,1.043922816,6324,6397.74851,73.74851,0,LOS
15762,20371,15510,48,11986,427,47909,-82.613,-84.213,1.6,1.019367412,6277,6397.74851,120.74851,0,LOS
9091,16557,17091,40,7632,331,47885,-82.864,-84.985,2.121,1.025596158,6324,6397.74851,73.74851,0,LOS
10165,17405,15683,40,7742,320,47889,-81.22,-83.3,2.08,1.025609456,6286,6397.74851,111.74851,0,LOS
9712,17573,15494,44,7925,331,47958,-81.028,-84.946,3.918,1.048353656,6249,6397.74851,148.74851,0,LOS
8366,14058,16574,36,7023,324,47874,-82.689,-84.391,1.702,1.020583149,6263,6397.74851,134.74851,0,LOS
12190,19349,15177,44,9508,388,47838,-82.439,-84.253,1.814,1.022004149,6249,6397.74851,148.74851,0,LOS
9665,17116,15708,36,8079,345,47758,-82.752,-84.518,1.766,1.021340874,6324,6397.74851,73.74851,0,LOS
9603,17903,15933,44,8126,342,47890,-82.853,-84.818,1.965,1.023716703,6258,6397.74851,139.74851,0,LOS
16529,19476,10972,40,10391,375,47870,-81.121,-84.66,3.539,1.043626188,6301,6397.74851,96.74851,0,LOS
9388,16580,17727,44,8324,321,47880,-81.508,-83.437,1.929,1.023666389,6324,6397.74851,73.74851,0,LOS
9301,17387,17095,36,8304,347,47948,-82.821,-84.785,1.964,1.023713792,6221,6397.74851,176.74851,0,LOS
8809,9130,13236,80,14795,1376,47814,-91.363,-99.752,8.389,1.09182054,8388,8682.33707,294.33707,0,LOS
6103,12098,7391,96,15407,1518,47735,-92.686,-101.404,8.718,1.094059513,8398,8682.33707,284.33707,0,LOS
8620,8996,12633,92,14646,1405,47751,-91.138,-99.287,8.149,1.089413856,8356,8682.33707,326.33707,0,LOS
6075,11671,12606,92,16219,1431,47821,-91.422,-99.358,7.936,1.086806239,8421,8682.33707,261.33707,0,LOS
3328,12631,10731,84,15158,1405,47770,-91.287,-100.866,9.579,1.104932794,8384,8682.33707,298.33707,0,LOS
6520,10775,12769,100,15110,1517,47627,-92.608,-100.714,8.106,1.087530235,8412,8682.33707,270.33707,0,LOS
3220,12655,10911,88,14527,1371,47703,-91.316,-99.136,7.82,1.08563669,8402,8682.33707,280.33707,0,LOS
8272,9659,13236,76,14954,1422,47622,-91.124,-99.477,8.353,1.091666301,8393,8682.33707,289.33707,0,LOS
2797,12992,8402,80,14569,1517,47732,-92.449,-101.57,9.121,1.098659802,8384,8682.33707,298.33707,0,LOS
11473,5787,13951,80,15154,1518,47810,-92.614,-99.194,6.58,1.071047574,8388,8682.33707,294.33707,0,LOS
6515,9911,10775,80,14134,1516,47562,-92.323,-101.741,9.418,1.102011416,8384,8682.33707,298.33707,0,LOS
10805,7056,13324,84,15238,1414,47681,-91.255,-99.617,8.362,1.091633335,8374,8682.33707,308.33707,0,LOS
3005,13226,9639,92,14334,1381,47464,-91.194,-100.878,9.684,1.106191197,8402,8682.33707,280.33707,0,LOS
3011,12602,9470,88,14882,1517,47589,-92.541,-101.749,9.208,1.099501842,8370,8682.33707,312.33707,0,LOS
10960,7322,13684,92,15246,1415,47746,-91.251,-99.819,8.568,1.093894861,8412,8682.33707,270.33707,0,LOS
3792,12530,10929,100,14704,1411,47769,-91.118,-100.905,9.787,1.107410171,8402,8682.33707,280.33707,0,LOS
6167,13096,7357,64,14798,1415,47807,-91.122,-100.455,9.333,1.102423125,8417,8682.33707,265.33707,0,LOS
3156,13188,9288,84,14563,1417,47532,-91.04,-100.548,9.508,1.10443761,8393,8682.33707,289.33707,0,LOS
10936,6728,12252,88,14525,1517,47616,-92.436,-100.623,8.187,1.088569389,8388,8682.33707,294.33707,0,LOS
6075,11176,12897,84,15564,1443,47373,-91.17,-99.235,8.065,1.088461117,8379,8682.33707,303.33707,0,LOS
2196,12635,9893,96,14159,1403,47647,-91.004,-100.507,9.503,1.104423981,8374,8682.33707,308.33707,0,LOS
5573,13710,7703,100,14953,1514,47614,-92.579,-100.103,7.524,1.081271131,8402,8682.33707,280.33707,0,LOS
8171,8495,13096,92,14773,1518,47429,-92.504,-100.554,8.05,1.087023264,8379,8682.33707,303.33707,0,LOS
7797,9478,13749,96,15349,1518,47558,-92.67,-100.945,8.275,1.089295349,8435,8682.33707,247.33707,0,LOS
5087,13687,8288,96,14969,1518,47608,-92.561,-100.135,7.574,1.081827119,8388,8682.33707,294.33707,0,LOS
3404,14027,10184,80,15962,1450,47785,-91.238,-100.974,9.736,1.106709923,8426,8682.33707,256.33707,0,LOS
5724,12291,7410,88,13973,1409,47801,-92.909,-100.061,7.152,1.076978549,8412,8682.33707,270.33707,0,LOS
4105,14038,9041,80,14711,1409,47730,-91.133,-100.989,9.856,1.108149627,8370,8682.33707,312.33707,0,LOS
3179,12433,10096,92,16037,1517,47582,-92.866,-101.899,9.033,1.097269184,8351,8682.33707,331.33707,0,LOS
